,title,genres,id,popularity,rating,keywords,actors,director
0,The Shawshank Redemption,"['Drama', 'Crime']",278,51.645403,8.357340764331209,"['prison', 'corruption', 'police brutality', 'prison cell', 'delinquent', 'parole board', 'escape from prison', 'wrongful imprisonment', 'framed for murder', '1940s']","['timrobbins', 'morganfreeman', 'bobgunton', 'clancybrown', 'markrolston', 'jameswhitmore']",['frankdarabont']
1,The Godfather,"['Drama', 'Crime']",238,41.109264,8.305781975843916,"['italy', 'love at first sight', 'loss of father', 'patriarch', 'organized crime', 'mafia', 'lawyer', 'italian american', 'crime family', 'rise to power', 'mob boss', '1940s']","['marlonbrando', 'alpacino', 'jamescaan', 'richards.castellano', 'robertduvall', 'sterlinghayden']",['francisfordcoppola']
2,The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']",155,123.167259,8.208095725419193,"['dc comics', 'crime fighter', 'secret identity', 'scarecrow', 'sadism', 'chaos', 'gotham city', 'vigilante', 'joker', 'superhero', 'based on comic', 'tragic hero', 'organized crime', 'criminal mastermind', 'district attorney', 'imax', 'super villain', 'super powers', 'batman']","['christianbale', 'michaelcaine', 'heathledger', 'aaroneckhart', 'garyoldman', 'maggiegyllenhaal']",['christophernolan']
3,Fight Club,['Drama'],550,63.869599,8.184547072784811,"['support group', 'dual identity', 'nihilism', 'rage and hate', 'insomnia', 'dystopia', 'violence']","['edwardnorton', 'bradpitt', 'meatloaf', 'jaredleto', 'helenabonhamcarter', 'zachgrenier']",['davidfincher']
4,Pulp Fiction,"['Thriller', 'Crime']",680,140.95023600000002,8.171764059753954,"['transporter', 'brothel', 'drug dealer', 'boxer', 'massage', 'stolen money', 'crime boss', 'dance contest', 'junkyard', 'kamikaze', 'ambiguous ending', 'briefcase', 'redemption', 'heirloom', 'pulp fiction', 'reference to al green', 'theft', 'brutality']","['johntravolta', 'samuell.jackson', 'umathurman', 'brucewillis', 'vingrhames', 'harveykeitel']",['quentintarantino']
5,Forrest Gump,"['Comedy', 'Drama', 'Romance']",13,48.307194,8.069005943363244,"['vietnam veteran', 'hippie', 'mentally disabled', 'running', 'based on novel', 'vietnam', 'vietnam war', 'friendship', 'love', 'family relationships', 'bully', 'mother son relationship', 'military', 'hugging', 'shrimping', 'wounded soldier', 'flashback', 'park bench', 'amputee']","['tomhanks', 'robinwright', 'garysinise', 'mykeltiwilliamson', 'sallyfield', 'michaelconnerhumphreys']",['robertzemeckis']
6,Schindler's List,"['Drama', 'History', 'War']",424,41.725122999999996,8.060275154004108,"['factory', 'concentration camp', 'hero', 'holocaust', 'world war ii', 'nazis', 'defense industry', 'biography', 'the holocaust']","['liamneeson', 'benkingsley', 'ralphfiennes', 'carolinegoodall', 'jonathansagall', 'embethdavidtz']",['stevenspielberg']
7,Whiplash,['Drama'],244786,64.29999000000001,8.057284823284824,"['jazz', 'obsession', 'conservatory', 'music teacher', 'new york city', 'violence', 'montage', 'drummer', 'public humiliation', 'jazz band', 'young adult', 'music school']","['milesteller', 'j.k.simmons', 'melissabenoist', 'austinstowell', 'jaysonblair', 'kavitapatil']",['damienchazelle']
8,Spirited Away,"['Fantasy', 'Adventure', 'Animation', 'Family']",129,41.048867,8.034788732394366,"['witch', 'parent child relationship', 'magic', 'darkness', 'bath house', 'ghost world', 'parallel world', 'amusement park', 'youkai', 'japanese mythology', 'anime', 'spirits']","['rumihiiragi', 'miyuirino', 'marinatsuki', 'buntasugawara', 'yumitamai', 'ryunosukekamiki']",['hayaomiyazaki']
9,Inception,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",27205,29.108148999999997,8.025517954373148,"['loss of lover', 'dream', 'kidnapping', 'sleep', 'subconsciousness', 'heist', 'redemption', 'female hero']","['leonardodicaprio', 'josephgordon-levitt', 'ellenpage', 'tomhardy', 'kenwatanabe', 'cillianmurphy']",['christophernolan']
